;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я;z;!;?;.;,
а;16993;1043748;3258022;622433;1842978;1469976;785754;2341598;325111;684618;3262559;5478273;2712572;6283544;69005;825693;3073377;3353315;4563840;155396;221598;899445;885077;820064;546964;283366;47;31;8;57803;895559;1452161;10840913;17755;31895;969222;1171981
б;936364;33797;80639;4247;25879;1312130;18509;7549;877904;21;73926;1024174;26791;280560;2377043;1524;988230;228246;3889;978408;732;88539;3154;5087;25745;544538;18986;1637975;212275;6666;87284;192804;239670;154;484;95461;18597
в;5052220;14945;71262;78693;156912;3972891;1527;190082;2703697;28;381664;1345819;146871;1209647;5075876;147216;823975;1455777;414132;587511;8529;36537;31892;76807;425235;23560;127873;2279099;6707;6711;1691;272191;7327630;4297;9139;473311;516229
г;1277437;10190;15103;11397;453682;658867;896;1041;1061189;16;55811;742475;18226;145129;6462055;2809;1275635;33888;16844;482985;783;984;1511;13423;2056;0;198;1002;603;9767;2434;467;279219;789;1309;92343;44661
д;3796634;17038;622572;51643;137264;4736131;233823;56345;2463386;7;207772;737530;202060;1571240;3158335;220077;795588;756137;91090;1388930;2298;22953;58054;61835;63863;39;210936;499481;30881;15665;21704;211599;855113;2442;2513;110491;95260
е;215204;581418;1738068;1840172;3530646;900967;681757;1204217;104742;2164727;1710002;4480217;3117775;8699168;285557;552162;6058696;4355287;5389623;54378;183725;481671;322887;734515;495218;418106;50;16;4;7926;86419;157346;11177363;14508;32560;589082;836280
ж;716078;120056;2772;5770;814840;2351188;5454;237;1046045;2;101754;2478;6947;921098;63767;2800;7437;34617;371;150539;205;121;5528;52642;61;3;22895;133;26;1907;6846;74;68410;222;404;7987;11279
з;4032438;193129;748063;130805;640028;381599;47902;5817;835186;3;95899;132671;392940;948953;825430;21016;331135;31905;7519;357963;657;203;8374;13660;1490;31;41377;395426;21124;2921;13495;142915;976508;814;979;23355;25109
и;621029;373866;1716786;668665;1109004;2607743;292403;2356756;2351256;1899527;2367916;3340429;2439883;4209442;889507;249394;1773672;2769807;4683942;31159;139535;1568211;1008181;1379177;304250;116782;38;27;4;9441;736489;2855806;11521761;14484;35311;875704;1157329
й;4779;20380;10809;8983;138010;16317;136;9753;2485;17;92354;34125;54639;250404;166208;5086;12727;787267;218942;494;8530;4114;53483;150339;115411;5270;3;273;1;470;370;3730;6185764;7670;12281;390934;476708
к;4926349;9912;383629;17597;5163;676233;205591;24284;3115835;47;55813;621083;27343;165320;8018929;25358;1385435;652161;1343083;1408947;4797;17865;251584;1872;11050;41;4086;2476;372;10930;2534;1623;2223371;3334;5321;156117;216202
л;4107251;12733;7897;138714;54929;4832320;306606;5935;5836696;40;255287;401705;15516;412815;3755154;19196;74272;417622;90560;1124763;3327;5309;365;20362;3429;1729;4565389;284098;324;7374;731433;1604953;2030534;3385;5213;115191;264805
м;2618771;84869;79073;16592;3875;3613275;2695;6704;3021864;28;136033;292756;294068;682418;2983936;526631;18916;213124;8831;1304737;23252;5172;15920;39949;2687;5309;158413;895369;108;48233;8827;343890;4854892;7951;16962;371733;790115
н;8860822;30002;136848;296500;874147;5896487;30337;66722;8745829;108;772270;17894;4518;2656164;8994204;25134;40317;1169321;1776977;1171295;213731;21450;472925;129646;17861;71456;595723;4432850;3133;14130;68970;889807;1634980;2861;4493;222861;212423
о;65949;3748106;8522900;4119165;5120506;1459066;1394745;1272625;794799;3219219;1904035;5062210;5015265;4151961;637958;1513945;5713421;6302068;4822940;94992;266824;389613;294634;1136250;579169;240410;37;81;9;105457;143590;606503;12077822;14887;21094;383914;916080
п;1668703;4660;2047;3558;3564;2218998;115;3061;937278;11;57198;823148;4707;130467;8040939;221071;7204655;62035;75585;677599;5467;2463;35984;10352;6429;593;43089;238946;21;3692;3169;141105;93561;269;280;24797;14682
р;8525072;199272;434160;670960;330166;7054579;370643;21518;4261059;77;407708;121371;514124;971765;8388546;114897;198167;716941;1112438;2394867;163481;100707;57542;57407;200306;8377;329620;1405947;199;13059;49399;751960;853305;2061;2794;94943;148712
с;1562460;190583;907683;26430;185789;2670463;8487;6669;2058356;53;4471730;2130882;558253;874655;3228599;1683175;423282;1769835;11424500;1047559;73053;123631;56583;311738;172880;445;1124356;279370;28057;11443;51797;2595682;2161701;2023;3624;170073;102297
т;5998165;129970;2690306;8306;138532;4950902;1026;9947;4519659;36;564123;138076;202432;1424429;9138681;96013;3530647;1786367;80737;1419646;22958;11913;21165;184122;2736;7199;3909266;1160361;5476;17993;52799;393533;4862348;10547;17080;326039;500527
у;198705;795211;306962;580731;1630193;295600;963254;287400;38682;35303;666361;792761;575372;430906;11580;884945;1128497;1060643;1316269;2017;34020;214221;28432;1021747;322514;300832;9;23;6;26181;935893;25573;3029023;6845;13646;296519;392370
ф;271859;2617;244;18949;327;449002;40;2431;630998;5;7630;72549;6536;12099;524353;2956;179988;41819;81171;136264;57443;1053;1530;269;2372;2;5016;18047;10;1428;1793;1362;129647;184;387;22726;21362
х;409903;1157;65414;3873;3511;56918;28;1198;192757;3;6724;54083;26453;141385;1371450;2057;182657;59668;25642;96301;690;3693;601;2199;921;4;2839;322;938;15313;511;85;3460457;2727;5876;169179;242288
ц;309599;13511;34074;1068;1506;1061546;84;4732;2208255;6;76883;4409;1812;4226;88253;7575;6554;33683;1870;120323;1009;1432;3927;118;347;5;207;185279;7;763;2576;431;123196;681;509;19405;33059
ч;1660549;1154;6046;129;70;3106049;2614;15;1501158;5;204284;62848;6501;803179;19314;8145;45500;27529;1704075;194525;472;941;55;1881;100211;3;125688;126;19;705;421;485;163779;949;773;34585;30397
ш;528543;390;42792;324;294;1573389;32;180;1050823;11;246040;352254;9101;205964;167303;11254;19435;6974;124869;112486;196;1393;2645;106;102;11;117521;186;124;2701;2744;212;47602;185;159;4389;5134
щ;440161;0;131;3;217;1193053;1;8;915528;3;12;18;33;57560;872;2;3276;14;64;56940;1;7;10;6;3;21;46795;132;2;45;12;48;3231;43;30;941;865
ь;422;101215;23705;94886;28506;387872;668;156020;120627;17;497710;133;174688;1947856;14724;9552;874;903468;251953;52;21096;9814;71416;33436;383253;38756;14;69;0;453;311837;267863;4602413;13479;27662;284443;485913
ы;432;202233;678856;102143;107682;1358293;26395;64472;30102;1332856;123979;877289;1013259;232049;195;132917;179686;583181;444322;1638;50;1604473;1741;84768;251243;4861;4;46;5;5;16;51816;3195034;6495;14425;364387;479762
ъ;246;1;20;1;2;175724;0;8;38;3;6;10;5;2;117;5;8;6;7;129;1;51;0;0;0;4;0;132;1;520;2351;124260;1361;7;1;180;79
э;554;5781;26677;4842;16574;424;203;4068;229;17474;373770;122195;45460;95323;500;30322;103512;51246;1446196;1478;52671;4990;2424;200;6104;40;2;0;0;470;178;953;9727;40;99;3559;2503
ю;7440;154239;8093;29373;300775;1565;40179;66643;2215;2539;36382;62143;29346;79833;757;2506;121546;91476;890581;161;1564;4935;27966;180686;12160;466073;10;5;1;1201;20393;70;1576457;2965;5025;116887;215971
я;237;158203;529740;39403;264276;295507;101325;267217;8962;36490;102153;286447;401105;518963;1185;41554;107601;226557;1177202;936;289;206991;101742;171547;25700;183723;23;5;6;99;175790;52240;6906213;11238;20476;493259;687207
z;41;0;4;0;3;13;0;0;4;1;1;1;5;1;21;0;0;0;1;0;0;0;0;0;0;0;0;5;0;2;16;1;4261;0;6;7599;570
!;16;4;23;4;14;5;1;9;11;0;11;6;12;18;13;26;6;11;11;10;16;2;1;3;1;0;0;0;0;3;0;5;129042;3139;163;1707;198
?;12;6;17;8;6;5;0;6;10;2;10;2;13;19;13;22;4;27;19;6;1;4;1;7;3;0;0;1;0;9;0;3;280067;5338;557;1951;246
.;4247;2570;5982;2978;6646;2413;377;789;3047;89;5063;1670;6208;3878;4343;7038;18014;6135;2121;1002;1105;655;148;1414;803;47;6;14;12;848;467;694;8092395;157;284;139183;35239
,;292;139;384;188;176;87;31;139;210;0;454;79;134;417;234;551;98;374;208;119;18;39;12;641;20;3;0;0;0;46;4;39;11170450;0;5;245;87
