;а;б;в;г;д;е;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я;!;?;.;,
а;0;212;648;191;410;131;186;782;23;208;752;1920;586;1054;0;169;734;864;1048;41;21;176;15;331;313;60;0;0;0;0;90;361;43;41;320;397
б;291;0;8;0;3;526;0;0;141;0;14;211;13;58;473;0;363;21;0;304;0;8;9;0;5;9;4;624;48;0;0;149;0;1;5;1
в;1592;2;7;0;83;1099;0;106;736;0;32;143;34;330;1364;28;99;425;38;130;0;4;1;16;74;15;22;427;7;0;0;39;6;3;63;70
г;366;0;14;0;135;85;0;0;94;0;19;251;3;82;1649;0;171;16;0;155;0;0;0;4;0;0;0;0;0;0;0;0;1;4;14;14
д;1001;5;177;2;3;908;1;3;535;0;56;94;9;323;827;14;273;64;23;329;0;9;50;4;10;0;142;108;5;0;3;67;1;1;22;12
е;0;355;476;703;538;268;198;230;74;424;185;1298;762;1632;35;255;1010;661;727;18;0;134;107;313;209;117;0;0;0;0;92;54;27;32;217;258
ж;298;31;0;1;136;474;1;0;294;0;11;2;0;142;11;0;0;3;4;38;0;0;0;3;0;0;9;0;0;0;0;0;2;2;3;4
з;1138;81;193;69;146;33;17;3;59;0;20;86;100;275;101;0;45;9;8;83;0;0;3;1;1;0;14;49;21;0;2;77;0;1;3;4
и;7;92;593;95;342;424;53;447;106;127;428;1139;459;724;10;24;188;550;734;2;1;269;179;444;126;43;0;0;0;0;112;266;34;40;257;364
й;0;0;0;0;29;0;0;0;0;0;37;2;4;85;1;0;0;111;48;0;0;0;3;27;4;0;0;0;0;0;0;0;33;11;98;135
к;1641;1;22;0;1;90;6;0;467;0;0;96;1;71;1533;0;446;38;62;370;0;0;3;0;1;0;0;0;0;0;1;0;19;6;42;58
л;1242;8;9;44;25;711;69;0;1274;0;56;13;6;51;1217;26;0;405;17;376;0;0;0;35;0;0;673;123;0;0;139;252;6;13;65;139
м;569;8;0;3;0;971;0;1;594;0;17;26;1;470;892;11;17;35;1;448;10;0;0;7;0;23;11;247;0;0;0;95;13;15;175;196
н;2081;63;11;7;218;1966;2;0;1311;0;29;0;0;440;1654;0;13;40;153;553;0;0;45;33;9;6;142;587;0;0;31;512;6;7;67;93
о;1;703;1480;849;1012;478;295;220;236;611;390;1090;1012;804;26;299;1137;1314;1241;15;45;70;16;242;224;60;0;0;0;0;274;164;28;25;154;259
п;253;0;0;0;0;509;0;0;246;0;25;122;0;16;1803;1;1338;4;8;324;0;0;3;5;0;0;36;40;0;0;0;50;2;2;9;6
р;1252;18;66;81;98;1294;67;15;1103;0;35;13;19;98;1458;25;0;97;83;490;0;8;19;14;37;9;265;272;0;0;26;212;4;0;17;19
с;461;5;336;5;39;564;3;0;374;0;835;567;177;222;449;362;17;107;2095;212;1;27;4;49;7;0;610;54;3;0;21;795;2;4;12;22
т;1014;6;596;3;26;947;0;1;744;0;85;36;2;150;1836;58;539;148;5;366;0;2;35;38;20;2;1267;330;5;0;98;75;14;24;66;97
у;1;120;164;372;397;37;301;126;0;28;134;261;229;82;0;154;171;260;317;1;1;50;2;175;268;37;0;0;0;2;210;9;16;16;211;271
ф;8;0;0;0;0;17;0;0;56;0;0;1;1;0;9;0;11;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
х;138;0;33;0;0;14;0;0;17;0;0;37;15;21;324;0;25;0;4;18;0;0;0;0;0;0;0;0;0;0;0;0;5;1;36;50
ц;156;0;1;0;0;142;0;0;17;0;25;0;0;0;32;0;0;0;0;57;0;0;0;0;0;0;0;35;0;0;0;0;3;2;6;17
ч;597;0;0;0;0;714;0;0;310;0;50;1;0;79;20;0;11;0;569;124;0;0;0;0;17;0;50;0;0;0;0;0;36;6;22;48
ш;299;0;115;0;0;398;0;0;202;0;311;94;0;78;19;23;0;0;8;69;0;0;0;0;0;0;157;0;0;0;0;0;0;1;1;3
щ;102;0;1;0;0;181;0;0;135;0;0;0;0;1;0;0;0;0;0;21;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
ь;0;23;0;11;7;86;0;15;189;0;156;0;63;219;0;0;0;251;9;0;1;5;22;12;20;3;0;0;0;0;54;158;28;69;215;294
ы;0;16;128;15;33;155;3;13;2;294;53;474;232;61;0;28;41;113;92;3;0;127;3;59;101;3;0;0;0;0;0;0;10;14;76;108
ъ;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;62;0;0;0;0
э;0;0;0;1;0;0;0;0;0;2;3;2;2;0;0;3;0;1;188;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ю;0;55;0;1;47;0;1;1;0;0;2;15;4;4;0;0;6;27;27;0;0;4;0;12;103;36;0;0;0;0;8;0;6;7;107;97
я;0;8;81;22;106;17;25;37;20;19;33;173;105;151;0;3;6;108;267;0;0;24;8;16;1;17;0;0;0;0;12;15;27;25;248;275
!;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0
?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;327;3
,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
